scenario,seed,sensor,ablation,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward
high,123,sensor_501_multivar_labeled,full,98,1448,179,20,0.8859598853868195,0.3537906137184115,0.8305084745762712,0.4962025316455696,0.110018438844499,0.1694915254237288,0.8899815611555009,0.860245017865886,0.4950622904021665,0.5145104297866995
high,123,sensor_501_multivar_labeled,without_spike,91,1462,165,27,0.8899713467048711,0.35546875,0.7711864406779662,0.4866310160427807,0.1014136447449293,0.2288135593220339,0.8985863552550707,0.8348863979665184,0.4753297014586609,0.4935188374481482
high,123,sensor_501_multivar_labeled,without_drift,96,1537,90,22,0.9358166189111748,0.5161290322580645,0.8135593220338984,0.6315789473684211,0.0553165334972341,0.1864406779661017,0.9446834665027658,0.879121394268332,0.6169692781185131,0.6001660244149453
high,123,sensor_501_multivar_labeled,without_flat,98,1448,179,20,0.8859598853868195,0.3537906137184115,0.8305084745762712,0.4962025316455696,0.110018438844499,0.1694915254237288,0.8899815611555009,0.860245017865886,0.4950622904021665,0.5145104297866995
high,123,sensor_501_multivar_labeled,without_dropout,96,1508,119,22,0.9191977077363896,0.4465116279069767,0.8135593220338984,0.5765765765765766,0.0731407498463429,0.1864406779661017,0.926859250153657,0.8702092860937777,0.5656491495964242,0.5631899252710412
high,123,sensor_502_multivar_labeled,full,100,1684,138,25,0.91628145865434,0.4201680672268907,0.8,0.5509641873278237,0.0757409440175631,0.2,0.9242590559824369,0.8621295279912184,0.5419554864165784,0.5433849999797981
high,123,sensor_502_multivar_labeled,without_spike,89,1716,106,36,0.9270672829994864,0.4564102564102564,0.712,0.55625,0.0581778265642151,0.288,0.9418221734357848,0.8269110867178924,0.5338318495843534,0.5265562558051169
high,123,sensor_502_multivar_labeled,without_drift,100,1713,109,25,0.931176168464304,0.4784688995215311,0.8,0.5988023952095808,0.0598243688254665,0.2,0.9401756311745336,0.8700878155872668,0.5860922064728481,0.5752489758899945
high,123,sensor_502_multivar_labeled,without_flat,13,1818,4,112,0.9404211607601438,0.7647058823529411,0.104,0.1830985915492957,0.0021953896816684,0.896,0.9978046103183316,0.5509023051591657,0.2682214608349758,0.2280807095819574
high,123,sensor_502_multivar_labeled,without_dropout,93,1673,149,32,0.9070364663585002,0.384297520661157,0.744,0.5068119891008175,0.0817782656421514,0.256,0.9182217343578484,0.8311108671789242,0.4919973329473562,0.5007321966303263
high,123,sensor_505_multivar_labeled,full,166,1345,10,460,0.7627460878344271,0.9431818181818182,0.2651757188498402,0.4139650872817955,0.007380073800738,0.7348242811501597,0.992619926199262,0.6288978225245512,0.4212476137309972,0.406576270278959
high,123,sensor_505_multivar_labeled,without_spike,158,1334,21,468,0.7531549722362443,0.88268156424581,0.2523961661341853,0.3925465838509316,0.0154981549815498,0.7476038338658147,0.9845018450184502,0.6184490055763178,0.38416192601236,0.3832172317118913
high,123,sensor_505_multivar_labeled,without_drift,174,1340,15,452,0.7642604745078243,0.9206349206349206,0.2779552715654952,0.4269938650306748,0.011070110701107,0.7220447284345048,0.988929889298893,0.6334425804321941,0.4223585951172607,0.4125220477585796
high,123,sensor_505_multivar_labeled,without_flat,93,1344,11,533,0.7253912165572943,0.8942307692307693,0.1485623003194888,0.2547945205479451,0.0081180811808118,0.8514376996805112,0.9918819188191882,0.5702221095693385,0.2927600927303323,0.2925490316089561
high,123,sensor_505_multivar_labeled,without_dropout,165,1346,9,461,0.7627460878344271,0.9482758620689656,0.2635782747603833,0.4125,0.0066420664206642,0.7364217252396166,0.9933579335793358,0.6284681041698595,0.4220155217724903,0.4062756550963934
high,123,sensor_506_multivar_labeled,full,582,4989,100,58,0.9724210158840983,0.8533724340175953,0.909375,0.8804841149773073,0.0196502259775987,0.090625,0.9803497740224012,0.9448623870112008,0.8654720681627336,0.7950711942446678
high,123,sensor_506_multivar_labeled,without_spike,573,4902,187,67,0.9556641647757026,0.7539473684210526,0.8953125,0.8185714285714285,0.0367459225781096,0.1046875,0.9632540774218904,0.9292832887109452,0.7973314522891775,0.7463684058624898
high,123,sensor_506_multivar_labeled,without_drift,582,4988,101,58,0.9722464653517192,0.8521229868228404,0.909375,0.8798185941043084,0.0198467282373747,0.090625,0.9801532717626252,0.9447641358813126,0.8647329211403393,0.7945646425466273
high,123,sensor_506_multivar_labeled,without_flat,325,5039,50,315,0.9362890556816198,0.8666666666666667,0.5078125,0.6403940886699507,0.0098251129887993,0.4921875,0.9901748870112006,0.7489936935056003,0.6342635270373566,0.5695385786025979
high,123,sensor_506_multivar_labeled,without_dropout,373,5051,38,267,0.9467620876243672,0.9075425790754258,0.5828125,0.7098001902949571,0.0074670858714875,0.4171875,0.9925329141285124,0.7876727070642562,0.7023276892973821,0.6296385139068958
high,123,sensor_507_multivar_labeled,full,101,1471,36,389,0.7871807711567351,0.7372262773722628,0.2061224489795918,0.3221690590111642,0.0238885202388852,0.7938775510204081,0.9761114797611148,0.5911169643703533,0.3102181107377423,0.3150079008308524
high,123,sensor_507_multivar_labeled,without_spike,96,1465,42,394,0.7816725087631448,0.6956521739130435,0.1959183673469387,0.305732484076433,0.0278699402786994,0.8040816326530612,0.9721300597213006,0.5840242135341197,0.2851083127053579,0.2979159600975631
high,123,sensor_507_multivar_labeled,without_drift,101,1471,36,389,0.7871807711567351,0.7372262773722628,0.2061224489795918,0.3221690590111642,0.0238885202388852,0.7938775510204081,0.9761114797611148,0.5911169643703533,0.3102181107377423,0.3150079008308524
high,123,sensor_507_multivar_labeled,without_flat,176,1161,346,314,0.6695042563845769,0.3371647509578544,0.3591836734693877,0.3478260869565217,0.2295952222959522,0.6408163265306123,0.7704047777040478,0.5647942255867178,0.1269082056761909,0.291892031585334
high,123,sensor_507_multivar_labeled,without_dropout,87,1475,32,403,0.7821732598898348,0.7310924369747899,0.1775510204081632,0.2857142857142857,0.0212342402123424,0.8224489795918367,0.9787657597876576,0.5781583900979104,0.2841443287766086,0.2893771762188618
high,123,sensor_508_multivar_labeled,full,146,1392,9,394,0.7923750643997939,0.9419354838709676,0.2703703703703703,0.4201438848920863,0.006423982869379,0.7296296296296296,0.9935760171306208,0.6319731937504957,0.4363400666210239,0.4108237836062571
high,123,sensor_508_multivar_labeled,without_spike,150,1386,15,390,0.7913446676970634,0.9090909090909092,0.2777777777777778,0.4255319148936171,0.0107066381156316,0.7222222222222222,0.9892933618843684,0.6335355698310731,0.4291206899059753,0.4101156675875342
high,123,sensor_508_multivar_labeled,without_drift,146,1392,9,394,0.7923750643997939,0.9419354838709676,0.2703703703703703,0.4201438848920863,0.006423982869379,0.7296296296296296,0.9935760171306208,0.6319731937504957,0.4363400666210239,0.4108237836062571
high,123,sensor_508_multivar_labeled,without_flat,71,1392,9,469,0.7537351880473983,0.8875,0.1314814814814814,0.2290322580645161,0.006423982869379,0.8685185185185185,0.9935760171306208,0.5625287493060512,0.2819080679824358,0.2749915622865387
high,123,sensor_508_multivar_labeled,without_dropout,101,1397,4,439,0.7717671303451829,0.961904761904762,0.187037037037037,0.3131782945736434,0.0028551034975017,0.812962962962963,0.9971448965024984,0.5920909667697677,0.3648648170061515,0.3410415476052147
high,123,sensor_509_multivar_labeled,full,852,11061,535,397,0.9274425846632932,0.6142754145638067,0.6821457165732586,0.646433990895296,0.0461365988271817,0.3178542834267414,0.9538634011728182,0.8180045588730385,0.6071640157691102,0.5830666631767136
high,123,sensor_509_multivar_labeled,without_spike,813,10834,762,436,0.906734137796808,0.5161904761904762,0.6509207365892714,0.5757790368271954,0.0657123145912383,0.3490792634107286,0.9342876854087616,0.7926042109990166,0.5286200763272945,0.5252341275184669
high,123,sensor_509_multivar_labeled,without_drift,875,11049,547,374,0.9282989490073958,0.6153305203938115,0.7005604483586869,0.6551853238487457,0.0471714384270438,0.299439551641313,0.952828561572956,0.8266945049658215,0.6169745661419178,0.592583964455909
