scenario,seed,sensor,expert,threshold,best_action,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
high,123,sensor_501_multivar_labeled,spike,0.6,z_w21_t3,15,1716,3,11,0.9919770773638968,0.8333333333333334,0.5769230769230769,0.6818181818181818,0.0017452006980802,0.4230769230769231,0.9982547993019196,0.7875889381124983,0.6896748099665613,0.6047205848252969,0.8801852597664115,0.5471533514882008,25,0.56,0.8235294117647058,0.0,0.0,0.56
high,123,sensor_501_multivar_labeled,drift,0.25,mean_shift_12_72,0,1593,152,0,0.9128939828080228,0.0,0.0,0.0,0.087106017191977,0.0,0.9128939828080228,0.4564469914040114,0.0,-0.0087106017191977,,,0,,,,,
high,123,sensor_501_multivar_labeled,flat,0.775,flat_std_w18,0,1647,5,93,0.943839541547278,0.0,0.0,0.0,0.0030266343825665,1.0,0.9969733656174334,0.4984866828087167,-0.0127188202838565,-0.0003026634382566,0.9465750214793408,0.7690126547128615,1,0.0,0.0,,,0.0
high,123,sensor_501_multivar_labeled,dropout,0.525,dropout_w24,0,1725,20,0,0.988538681948424,0.0,0.0,0.0,0.0114613180515759,0.0,0.988538681948424,0.494269340974212,0.0,-0.0011461318051575,,,0,,,,,
high,123,sensor_502_multivar_labeled,spike,0.7,z_w21_t3,13,1925,2,7,0.99537750385208,0.8666666666666667,0.65,0.7428571428571429,0.0010378827192527,0.35,0.9989621172807472,0.8244810586403737,0.7483866132939008,0.6591819260137891,0.8594836533471718,0.6515569754211656,19,0.6842105263157895,0.8666666666666667,0.0769230769230769,0.0,0.6842105263157895
high,123,sensor_502_multivar_labeled,drift,0.4999999999999999,slope_w36_t2.2,0,1923,24,0,0.987673343605547,0.0,0.0,0.0,0.012326656394453,0.0,0.987673343605547,0.4938366718027735,0.0,-0.0012326656394453,,,0,,,,,
high,123,sensor_502_multivar_labeled,flat,0.4249999999999999,flat_std_w36,86,1689,155,17,0.91165896250642,0.3568464730290456,0.8349514563106796,0.5,0.084056399132321,0.1650485436893204,0.915943600867679,0.8754475285891793,0.5103642926063844,0.5206067679343287,0.926768527683592,0.4575137518554597,1,1.0,0.125,0.0,0.0,1.0
high,123,sensor_502_multivar_labeled,dropout,0.75,flat_std_w18,60,1762,108,17,0.935798664612224,0.3571428571428571,0.7792207792207793,0.4897959183673469,0.0577540106951871,0.2207792207792207,0.9422459893048128,0.860733384262796,0.500771821184617,0.5019704245334498,0.9439822209875688,0.3559240635419016,1,1.0,0.125,9.0,9.0,1.0
high,123,sensor_505_multivar_labeled,spike,0.65,z_w21_t3,17,1951,1,12,0.9934376577486118,0.9444444444444444,0.5862068965517241,0.7234042553191489,0.0005122950819672,0.4137931034482758,0.9994877049180328,0.7928473007348784,0.741333668057769,0.6430094210176043,0.8751413227812322,0.6138103874746627,29,0.5862068965517241,0.9444444444444444,0.0,0.0,0.5862068965517241
high,123,sensor_505_multivar_labeled,drift,0.2249999999999999,slope_w36_t2.2,45,1398,161,377,0.7284199899040888,0.2184466019417475,0.1066350710900474,0.143312101910828,0.1032713277742142,0.8933649289099526,0.8967286722257858,0.5016818716579166,0.0045120026076704,0.1189208247007275,0.4936791113516077,0.2109200101890525,2,1.0,0.2247191011235955,8.5,8.5,1.0
