scenario,seed,sensor,method,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
high,123,sensor_501_multivar_labeled,single_agent_rl_refactored,85,1605,22,33,0.968481375358166,0.794392523364486,0.7203389830508474,0.7555555555555554,0.0135218192993239,0.2796610169491525,0.986478180700676,0.8534085818757617,0.7397637217655889,0.6739083914899947,0.8534085818757617,0.5911430772086707,25,0.04,0.25,0.0,0.0,0.04
high,123,sensor_501_multivar_labeled,or_all,20,1475,152,98,0.8567335243553008,0.1162790697674418,0.1694915254237288,0.1379310344827586,0.0934234787953288,0.8305084745762712,0.9065765212046712,0.5380340233142,0.0640779278925983,0.1210159357299434,0.5380340233141999,0.0758687753624579,25,0.6,0.265625,2.1333333333333333,0.0,0.56
high,123,sensor_501_multivar_labeled,majority,10,1617,10,108,0.932378223495702,0.5,0.0847457627118644,0.144927536231884,0.0061462814996926,0.9152542372881356,0.9938537185003072,0.5392997406060859,0.1854150199106163,0.1650264919679379,0.5392997406060859,0.1042639988344422,25,0.4,0.7692307692307693,0.1,0.0,0.4
high,123,sensor_501_multivar_labeled,v73_confidence_hybrid_reference,98,1447,180,20,0.8853868194842407,0.3525179856115107,0.8305084745762712,0.4949494949494949,0.1106330669944683,0.1694915254237288,0.8893669330055316,0.8599377037909014,0.4939177828882375,0.5136942062424338,0.8662923338160073,0.3340008973744119,25,0.68,0.2048192771084337,0.0588235294117647,0.0,0.68
high,123,sensor_501_multivar_labeled,v75_selective_coordinator,98,1448,179,20,0.8859598853868195,0.3537906137184115,0.8305084745762712,0.4962025316455696,0.110018438844499,0.1694915254237288,0.8899815611555009,0.860245017865886,0.4950622904021665,0.5145104297866995,0.8700373985603116,0.4148715983178854,25,0.68,0.2073170731707317,0.0588235294117647,0.0,0.68
high,123,sensor_501_multivar_labeled,v75_selective_hybrid,98,1448,179,20,0.8859598853868195,0.3537906137184115,0.8305084745762712,0.4962025316455696,0.110018438844499,0.1694915254237288,0.8899815611555009,0.860245017865886,0.4950622904021665,0.5145104297866995,0.8687508464158844,0.346022857962523,25,0.68,0.2073170731707317,0.0588235294117647,0.0,0.68
high,123,sensor_502_multivar_labeled,single_agent_rl_refactored,13,1818,4,112,0.9404211607601438,0.7647058823529411,0.104,0.1830985915492957,0.0021953896816684,0.896,0.9978046103183316,0.5509023051591657,0.2682214608349758,0.2280807095819574,0.5509023051591658,0.1370538082721532,17,0.7647058823529411,0.7647058823529411,6.384615384615385,0.0,0.7058823529411765
high,123,sensor_502_multivar_labeled,or_all,101,1644,178,24,0.8962506420133539,0.3620071684587813,0.808,0.5,0.097694840834248,0.192,0.902305159165752,0.855152579582876,0.4969057670160058,0.5119315911853924,0.855152579582876,0.3048284485091483,17,0.8235294117647058,0.4827586206896552,0.2857142857142857,0.0,0.8235294117647058
high,123,sensor_502_multivar_labeled,majority,68,1722,100,57,0.9193631227529532,0.4047619047619047,0.544,0.4641638225255973,0.0548847420417124,0.456,0.9451152579582875,0.7445576289791438,0.4269704201067573,0.4272995316466332,0.7445576289791438,0.2494662851273021,17,0.4705882352941176,0.5625,1.125,0.0,0.4705882352941176
high,123,sensor_502_multivar_labeled,v73_confidence_hybrid_reference,99,1684,138,26,0.9157678479712378,0.4177215189873418,0.792,0.5469613259668508,0.0757409440175631,0.208,0.9242590559824369,0.8581295279912184,0.536941646999867,0.5388167301314278,0.8377694840834249,0.4210125575297231,17,0.7647058823529411,0.2916666666666667,0.3076923076923077,0.0,0.7647058823529411
